Algorithm,n_bits,Prime_Number
Fermat,53,4689595478134751
Fermat,56,57146623387660013
Fermat,55,33477583482631087
Fermat,56,40473315179302123
Fermat,55,34627451589631361
Fermat,45,21946671570403
Fermat,52,3761749943777297
Fermat,53,6716587064617237
Fermat,55,31116217995314533
Fermat,56,40562461376554087
Fermat,56,49945217196475729
Fermat,55,29052325323057997
Fermat,56,52034191926555037
Fermat,54,15773979116609489
Fermat,80,1134645367673268458408309
Fermat,80,1199717501919247509635221
Fermat,80,1094763794154228249354769
Fermat,79,544935337487759301682483
Fermat,79,378995897561183990361083
Fermat,79,430291577551944469628107
Fermat,80,1199074670776097176607687
Fermat,80,678950517533387554124339
Fermat,80,882684042589621696102717
Fermat,80,966658900960326589477249
Fermat,80,1200940103826738444054169
Fermat,80,809689593172630498425521
Fermat,80,794590988493509467967963
Fermat,80,1057542093437383043452307
Fermat,79,465780783427015775170427
Fermat,79,340000997519691636115777
Fermat,80,802816001195439721987891
Fermat,126,74848709218747729294443547978264078231
Fermat,128,187508458246581261259326403303775425867
Fermat,127,138425936631232612482935849133023450459
Fermat,125,28979669470426578781676615382410213233
Fermat,125,41489570102401845803487549628631577409
Fermat,128,280675753855842242626918287738513793159
Fermat,125,36121251100159244218868863865567806043
Fermat,126,43959739718443042614682081250493427097
Fermat,128,200829911255290288918838551855108676017
Fermat,128,275944014881261182642958263770325478203
Fermat,128,248378902891456002545583883386015511981
Fermat,128,316493189438933590270184775677301749609
Fermat,128,305341051790662205969360120236944842309
Fermat,124,12651582633019784552603119019928833203
Fermat,128,313624653857114343618675658764101031479
Fermat,125,33717937218438863326992975412883616563
Fermat,168,252416905835804658887886830559269850516135992814311
Fermat,168,231610270575691406027641170539177216714571708152963
Fermat,163,11623638187123198844801736081884055393784768494419
Fermat,168,221307536679589217799011203402353295393268709328487
Fermat,168,253639543998357493961553350340975855650916961532789
Fermat,168,284253938078756322338616025529817862266766399999057
Fermat,167,102058051626635286217983247701054230800589704979341
Fermat,168,327075906280404769073836305232831527708308742200971
Fermat,162,4250815723784438105958483893259805422129732547601
Fermat,167,172193572064682001426760339661438477540456881553511
Fermat,223,7570779506982052809912591171777555496525937847636759294736300808959
Fermat,224,21064487774678069974453176368705780420104518451822151422474908697489
Fermat,223,7450945206919970582893273504307398782000569928924124721126755711469
Fermat,223,7681347044076358690166164040003289204396382556826686734871103930869
Fermat,222,6085363551511170297541009091851519952440101069508275610829385428369
Fermat,224,19759032271458295653526457273020265834289953271339227200037408667533
Fermat,223,12824889923547679754143701957280531540006340408759704621677979066361
Fermat,224,25493512455149577675007319287969982306673463435029868450910437658059
Fermat,221,1885604691724147442306158672359320537577151087079925470218908940813
Fermat,224,26891033911941532286037488238327981652040582438202345616457283281581
Fermat,223,9962015567094615845861135935145755238918360241264481523790066329047
Fermat,256,77732965734808310518245166148996510659133856802778505376550110435149139753573
Fermat,254,17798638798536938516429941812089375189503311598708833354091631326955381052611
Fermat,255,33753468463321090184980083138338140770922082684202021635763539071901884255247
Fermat,512,8086607476186857671078009470662968660874098304020189647222138369078138260050422694637060380867872513089172363243452169966204407137978463448787182299300817
Fermat,511,6045877951781531313273353981684821043842479972302784694112436196933704628363583475252417140705053413890721646132942094774743107644994160158702892805371799
Fermat,510,2188243641846226365796138253732794211766933624991645200568694365277648026295491284113177656184906713820894041773460151597266236162453385724051893394948641
Fermat,512,6857187404520383857841023250925792781807463775035841958029913184887261433354324377731743940165595855023313066567943947367201775286061654650726164541079123
Fermat,1023,48949810424236441421202000594200120410929699639765947826066302642661199455314856838483640990013671813970143152111261608745173953525289647022074127317233117259639624801527332271341969570717364776107197935760059490192131226201979505465576277326583041650435664097707745330877569488111521927071915336211351249473
Fermat,2048,22005113538599533332712504980389722200423364440221652331567079559418971872255568194079435408504003277481335790143678305117932468817246917953734050599561747500355514121008507222162742873271902471414196602499121838603619893028454338652843635811457074742733918994390853888253832784512581084319247265520167659346142515288245559398432598052683755044107691252870279741194373616035805531345980165029523157860252985495848149935621660647027068589139914218994392900531956550603970190868282084530478149122918922061875818300541251823199009388751955784880287607119447141025127518917551371986598661850084100419177653135758900855757
